Year, League, Team, Wins, Losses, Ties, WinPCT, 
2014,Pacific League,Rakuten,64,80,0,.444
2013,Central League,Yomiuri,84,53,7,.613
2013,Central League,Hanshin,73,67,4,.521
2013,Central League,Hiroshima,69,72,3,.489
2013,Central League,Chunichi,64,77,3,.454
2013,Central League,DeNA,64,79,1,.448
2013,Central League,Yakult,57,83,4,.407
2013,Pacific League,Rakuten,82,59,3,.582
2013,Pacific League,Seibu,74,66,4,.529
2013,Pacific League,Lotte,74,68,2,.521
2013,Pacific League,SoftBank,73,69,2,.514
2013,Pacific League,ORIX,66,73,5,.475
2013,Pacific League,Nippon-Ham,64,78,2,.451
2012,Central League,Yomiuri,86,43,15,.667
2012,Central League,Chunichi,75,53,16,.586
2012,Central League,Yakult,68,65,11,.511
2012,Central League,Hiroshima,61,71,12,.462
2012,Central League,Hanshin,55,75,14,.423
2012,Central League,DeNA,46,85,13,.351
2012,Pacific League,Nippon-Ham,74,59,11,.556
2012,Pacific League,Seibu,72,63,9,.533
2012,Pacific League,SoftBank,67,65,12,.508
2012,Pacific League,Rakuten,67,67,10,.500
2012,Pacific League,Lotte,62,67,15,.481
2012,Pacific League,ORIX,57,77,10,.425
2011,Central League,Chunichi,75,59,10,.560
2011,Central League,Yakult,70,59,15,.543
2011,Central League,Yomiuri,71,62,11,.534
2011,Central League,Hanshin,68,70,6,.493
2011,Central League,Hiroshima,60,76,8,.441
2011,Central League,Yokohama,47,86,11,.353
2011,Pacific League,Softbank,88,46,10,.657
2011,Pacific League,Nippon-Ham,72,65,7,.526
2011,Pacific League,Seibu,68,67,9,.504
2011,Pacific League,ORIX,69,68,7,.504
2011,Pacific League,Rakuten,66,71,7,.482
2011,Pacific League,Lotte,54,79,11,.406
2010,Central League,Chunichi,79,62,3,.560
2010,Central League,Hanshin,78,63,3,.553
2010,Central League,Yomiuri,79,64,1,.552
2010,Central League,Yakult,72,68,4,.514
2010,Central League,Hiroshima,58,84,2,.408
2010,Central League,Yokohama,48,95,1,.336
2010,Pacific League,Softbank,76,63,5,.547
2010,Pacific League,Seibu,78,65,1,.545
2010,Pacific League,Lotte,75,67,2,.528
2010,Pacific League,Nippon-Ham,74,67,3,.525
2010,Pacific League,Orix,69,71,4,.493
2010,Pacific League,Rakuten,62,79,3,.440
2009,Central League,Yomiuri,89,46,9,.659
2009,Central League,Chunichi,81,62,1,.566
2009,Central League,Yakult,71,72,1,.497
2009,Central League,Hanshin,67,73,4,.479
2009,Central League,Hiroshima,65,75,4,.464
2009,Central League,Yokohama,51,93,0,.354
2009,Pacific League,Nippon-Ham,82,60,2,.577
2009,Pacific League,Rakuten,77,66,1,.538
2009,Pacific League,Softbank,74,65,5,.532
2009,Pacific League,Seibu,70,70,4,.500
2009,Pacific League,Lotte,62,77,5,.446
2009,Pacific League,Orix,56,86,2,.394
2008,Central League,Yomiuri,84,57,3,.596
2008,Central League,Hanshin,82,59,3,.582
2008,Central League,Chunichi,71,68,5,.511
2008,Central League,Hiroshima,69,70,5,.496
2008,Central League,Yakult,66,74,4,.471
2008,Central League,Yokohama,48,94,2,.338
2008,Pacific League,Seibu,76,64,4,.543
2008,Pacific League,Orix,75,68,1,.524
2008,Pacific League,Nippon-Ham,73,69,2,.514
2008,Pacific League,Lotte,73,70,1,.510
2008,Pacific League,Rakuten,65,76,3,.461
2008,Pacific League,Softbank,64,77,3,.454
